PROD_EST,ANIO,MES,TIPO,TIPO_DE_TRANSPORTE,CATEGORIA,VARIABLE,VALOR,UNIDAD_DE_MEDIDA,ESTATUS
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Egresos,Aéreo,Turistas de internación,Gasto total,570350420,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Egresos,Terrestre,Turistas de internación,Gasto total,161790457,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Egresos,Aéreo,Turistas de internación,Número de visitantes,508165,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Noviembre,Egresos,Terrestre,Turistas de internación,Número de visitantes,637931,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Aéreo,Turistas de internación,Gasto total,1984542826,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Terrestre,Turistas de internación,Gasto total,164989092,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,61182292,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,2028568,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,603583,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,899916,Número de entradas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Egresos,Aéreo,Turistas de internación,Gasto total,603937126,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Egresos,Terrestre,Turistas de internación,Gasto total,195953054,Dólares,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Egresos,Aéreo,Turistas de internación,Número de visitantes,484108,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2018,Diciembre,Egresos,Terrestre,Turistas de internación,Número de visitantes,694248,Número de salidas,Cifras revisadas
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Aéreo,Turistas de internación,Gasto total,1879044196,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Terrestre,Turistas de internación,Gasto total,111520003,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,66481257,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1749257,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Terrestre,Turistas de internación,Número de visitantes,212020,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,970953,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Egresos,Aéreo,Turistas de internación,Gasto total,511499628,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Egresos,Terrestre,Turistas de internación,Gasto total,91975053,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Egresos,Aéreo,Turistas de internación,Número de visitantes,513996,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Enero,Egresos,Terrestre,Turistas de internación,Número de visitantes,408139,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Aéreo,Turistas de internación,Gasto total,1855646460,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Terrestre,Turistas de internación,Gasto total,92969953,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,55192804,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1740937,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Terrestre,Turistas de internación,Número de visitantes,215707,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,810625,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Egresos,Aéreo,Turistas de internación,Gasto total,328650861,Dólares,Cifras preliminares
